date_sk,full_date,year,quarter,month_num,month_name,month_short,year_month,year_month_sort,week_num,day_num,day_name,is_weekend
20110101,2011-01-01,2011,1,1,January,Jan,2011-01,201101,52,1,Saturday,True
20110102,2011-01-02,2011,1,1,January,Jan,2011-01,201101,52,2,Sunday,True
20110103,2011-01-03,2011,1,1,January,Jan,2011-01,201101,1,3,Monday,False
20110104,2011-01-04,2011,1,1,January,Jan,2011-01,201101,1,4,Tuesday,False
20110105,2011-01-05,2011,1,1,January,Jan,2011-01,201101,1,5,Wednesday,False
20110106,2011-01-06,2011,1,1,January,Jan,2011-01,201101,1,6,Thursday,False
20110107,2011-01-07,2011,1,1,January,Jan,2011-01,201101,1,7,Friday,False
20110108,2011-01-08,2011,1,1,January,Jan,2011-01,201101,1,8,Saturday,True
20110109,2011-01-09,2011,1,1,January,Jan,2011-01,201101,1,9,Sunday,True
20110110,2011-01-10,2011,1,1,January,Jan,2011-01,201101,2,10,Monday,False
20110111,2011-01-11,2011,1,1,January,Jan,2011-01,201101,2,11,Tuesday,False
20110112,2011-01-12,2011,1,1,January,Jan,2011-01,201101,2,12,Wednesday,False
20110113,2011-01-13,2011,1,1,January,Jan,2011-01,201101,2,13,Thursday,False
20110114,2011-01-14,2011,1,1,January,Jan,2011-01,201101,2,14,Friday,False
20110115,2011-01-15,2011,1,1,January,Jan,2011-01,201101,2,15,Saturday,True
20110116,2011-01-16,2011,1,1,January,Jan,2011-01,201101,2,16,Sunday,True
20110117,2011-01-17,2011,1,1,January,Jan,2011-01,201101,3,17,Monday,False
20110118,2011-01-18,2011,1,1,January,Jan,2011-01,201101,3,18,Tuesday,False
20110119,2011-01-19,2011,1,1,January,Jan,2011-01,201101,3,19,Wednesday,False
20110120,2011-01-20,2011,1,1,January,Jan,2011-01,201101,3,20,Thursday,False
20110121,2011-01-21,2011,1,1,January,Jan,2011-01,201101,3,21,Friday,False
20110122,2011-01-22,2011,1,1,January,Jan,2011-01,201101,3,22,Saturday,True
20110123,2011-01-23,2011,1,1,January,Jan,2011-01,201101,3,23,Sunday,True
20110124,2011-01-24,2011,1,1,January,Jan,2011-01,201101,4,24,Monday,False
