product_sk,product_id,product_name,category,sub_category
1,FUR-ADV-10000002,"Advantus Photo Frame, Duo Pack",Furniture,Furnishings
2,FUR-ADV-10000108,"Advantus Clock, Erganomic",Furniture,Furnishings
3,FUR-ADV-10000183,"Advantus Photo Frame, Black",Furniture,Furnishings
4,FUR-ADV-10000188,"Advantus Stacking Tray, Erganomic",Furniture,Furnishings
5,FUR-ADV-10000190,"Advantus Frame, Duo Pack",Furniture,Furnishings
6,FUR-ADV-10000571,"Advantus Frame, Erganomic",Furniture,Furnishings
7,FUR-ADV-10000600,"Advantus Clock, Duo Pack",Furniture,Furnishings
8,FUR-ADV-10000847,"Advantus Stacking Tray, Black",Furniture,Furnishings
9,FUR-ADV-10001283,"Advantus Frame, Black",Furniture,Furnishings
10,FUR-ADV-10001440,"Advantus Door Stop, Black",Furniture,Furnishings
11,FUR-ADV-10001659,"Advantus Light Bulb, Durable",Furniture,Furnishings
12,FUR-ADV-10001855,"Advantus Stacking Tray, Durable",Furniture,Furnishings
13,FUR-ADV-10002329,"Advantus Light Bulb, Erganomic",Furniture,Furnishings
14,FUR-ADV-10002601,"Advantus Photo Frame, Erganomic",Furniture,Furnishings
15,FUR-ADV-10002632,"Advantus Door Stop, Duo Pack",Furniture,Furnishings
16,FUR-ADV-10002889,"Advantus Clock, Durable",Furniture,Furnishings
17,FUR-ADV-10003147,"Advantus Stacking Tray, Erganomic",Furniture,Furnishings
18,FUR-ADV-10003326,"Advantus Light Bulb, Black",Furniture,Furnishings
19,FUR-ADV-10004159,"Advantus Frame, Durable",Furniture,Furnishings
20,FUR-ADV-10004223,"Advantus Clock, Black",Furniture,Furnishings
21,FUR-ADV-10004395,"Advantus Door Stop, Durable",Furniture,Furnishings
22,FUR-ADV-10004499,"Advantus Photo Frame, Durable",Furniture,Furnishings
23,FUR-ADV-10004718,"Advantus Light Bulb, Duo Pack",Furniture,Furnishings
24,FUR-ADV-10004971,"Advantus Door Stop, Erganomic",Furniture,Furnishings
25,FUR-BAR-10000560,"Barricks Round Table, with Bottom Storage",Furniture,Tables
26,FUR-BAR-10000831,"Barricks Training Table, Fully Assembled",Furniture,Tables
27,FUR-BAR-10000946,"Barricks Computer Table, with Bottom Storage",Furniture,Tables
28,FUR-BAR-10001039,"Barricks Coffee Table, Fully Assembled",Furniture,Tables
29,FUR-BAR-10002449,"Barricks Training Table, Adjustable Height",Furniture,Tables
30,FUR-BAR-10002710,"Barricks Coffee Table, Adjustable Height",Furniture,Tables
31,FUR-BAR-10003465,"Barricks Computer Table, Adjustable Height",Furniture,Tables
32,FUR-BAR-10003532,"Barricks Conference Table, Rectangular",Furniture,Tables
33,FUR-BAR-10003576,"Barricks Training Table, with Bottom Storage",Furniture,Tables
34,FUR-BAR-10004434,"Barricks Wood Table, Rectangular",Furniture,Tables
