sales_line_sk,row_id_bk,order_id_bk,order_date_sk,ship_date_sk,customer_sk,product_sk,geography_sk,market_sk,ship_mode_sk,order_priority_sk,discount_band_sk,profitability_band_sk,sales_amount,profit_amount,quantity_sold,discount_rate,shipping_cost,days_to_ship,margin_pct,order_line_count,profitable_flag
1,36624,CA-2011-130813,20110107,20110109,2910,6288,3622,7,3,2,4,1,19,9.33,3,0.0,4.37,2,0.4911,1,True
2,37033,CA-2011-148614,20110121,20110126,3342,6391,3622,7,4,4,4,1,19,9.29,2,0.0,0.94,5,0.4889,1,True
3,31468,CA-2011-118962,20110805,20110809,1058,6101,3622,7,4,4,4,1,21,9.84,3,0.0,1.81,4,0.4686,1,True
4,31469,CA-2011-118962,20110805,20110809,1058,6160,3622,7,4,4,4,1,111,53.26,2,0.0,4.59,4,0.4798,1,True
5,32440,CA-2011-146969,20110929,20111003,278,6298,3622,7,4,2,4,1,6,3.11,1,0.0,1.32,4,0.5183,1,True
6,32890,CA-2011-117317,20111019,20111019,2220,6616,3622,7,2,1,4,1,13,6.59,3,0.0,2.39,0,0.5069,1,True
7,35608,CA-2011-125829,20111104,20111111,4844,6038,3622,7,4,4,4,1,19,9.33,3,0.0,1.15,7,0.4911,1,True
8,33709,CA-2011-151295,20111112,20111116,2089,6276,3622,7,4,2,4,1,12,5.86,2,0.0,0.92,4,0.4883,1,True
9,35267,CA-2011-135090,20111122,20111126,4362,6312,3622,7,4,2,4,1,54,24.22,9,0.0,6.98,4,0.4485,1,True
10,38866,CA-2011-133830,20111205,20111210,3978,6192,3622,7,4,4,4,1,49,23.09,4,0.0,1.99,5,0.4712,1,True
11,33788,CA-2011-113579,20111213,20111215,2604,6202,3622,7,3,2,4,1,90,41.51,6,0.0,8.53,2,0.4612,1,True
12,33544,CA-2012-116092,20120215,20120218,2420,6581,3622,7,3,4,4,1,13,6.41,2,0.0,1.0,3,0.4931,1,True
13,33548,CA-2012-116092,20120215,20120218,2420,6076,3622,7,3,4,4,1,19,9.33,3,0.0,0.06,3,0.4911,1,True
14,39431,CA-2012-121776,20120216,20120221,3877,6281,3622,7,4,2,4,1,37,17.31,3,0.0,4.04,5,0.4678,1,True
15,31990,CA-2012-131534,20120328,20120402,46,6113,3622,7,4,4,4,1,33,16.03,5,0.0,2.25,5,0.4858,1,True
16,38758,US-2012-136987,20120411,20120414,298,6424,3622,7,3,4,4,1,53,24.27,2,0.0,1.59,3,0.4579,1,True
17,35746,CA-2012-121965,20120619,20120623,2842,6593,3622,7,4,4,4,1,6,3.11,1,0.0,0.52,4,0.5183,1,True
18,32057,CA-2012-112319,20120831,20120905,294,6464,3622,7,4,2,4,1,58,27.99,9,0.0,7.98,5,0.4826,1,True
19,36102,CA-2012-137708,20121122,20121125,3466,6032,3622,7,3,2,4,1,38,18.21,2,0.0,3.9,3,0.4792,1,True
20,36103,CA-2012-137708,20121122,20121125,3466,6056,3622,7,3,2,4,1,43,19.26,10,0.0,6.15,3,0.4479,1,True
21,33074,CA-2012-105347,20121124,20121128,1408,6103,3622,7,4,4,4,1,369,180.77,9,0.0,6.98,4,0.4899,1,True
22,35414,CA-2012-153416,20121124,20121129,4705,6288,3622,7,4,4,4,1,19,9.33,3,0.0,1.68,5,0.4911,1,True
23,31361,CA-2012-135545,20121124,20121130,2689,6522,3622,7,4,4,4,1,147,68.96,3,0.0,4.93,6,0.4691,1,True
24,39966,CA-2012-158918,20121220,20121225,223,6660,3622,7,3,4,4,1,17,7.7,4,0.0,1.31,5,0.4529,1,True
25,37305,CA-2012-135580,20121230,20130103,928,6096,3622,7,4,4,4,1,69,31.52,3,0.0,6.36,4,0.4568,1,True
26,39776,US-2013-119270,20130313,20130317,4460,6545,3622,7,4,4,4,1,20,8.99,2,0.0,1.3,4,0.4495,1,True
27,38455,CA-2013-131380,20130329,20130401,792,6171,3622,7,3,1,4,1,6,2.93,1,0.0,1.82,3,0.4883,1,True
28,32200,CA-2013-130477,20130409,20130413,2788,6400,3622,7,4,2,4,1,20,9.62,3,0.0,2.92,4,0.481,1,True
